Q.No. 	Session 	Que.Type 	Sec. Name 	Key 	Marks
1 	6 	MCQ 	GA 	D 	1
2 	6 	MCQ 	GA 	A 	1
3 	6 	MCQ 	GA 	A 	1
4 	6 	MCQ 	GA 	D 	1
5 	6 	MCQ 	GA 	B 	1
6 	6 	MCQ 	GA 	D 	2
7 	6 	MCQ 	GA 	C 	2
8 	6 	MCQ 	GA 	A 	2
9 	6 	MCQ 	GA 	B 	2
10 	6 	MCQ 	GA 	C 	2
1 	6 	MCQ 	CS 	A 	1
2 	6 	MCQ 	CS 	A 	1
3 	6 	MCQ 	CS 	C 	1
4 	6 	MCQ 	CS 	C 	1
5 	6 	MCQ 	CS 	B 	1
6 	6 	MCQ 	CS 	C 	1
7 	6 	MCQ 	CS 	MTA 	1
8 	6 	MCQ 	CS 	D 	1
9 	6 	MCQ 	CS 	D 	1
10 	6 	MCQ 	CS 	C 	1
11 	6 	MCQ 	CS 	C 	1
12 	6 	MCQ 	CS 	C 	1
13 	6 	MCQ 	CS 	A 	1
14 	6 	MCQ 	CS 	A 	1
15 	6 	MCQ 	CS 	D 	1
16 	6 	MCQ 	CS 	C 	1
17 	6 	NAT 	CS 	0.125 to 0.125 	1
18 	6 	NAT 	CS 	7 to 7 	1
19 	6 	NAT 	CS 	5 to 5 	1
20 	6 	NAT 	CS 	1034 to 1034 	1
21 	6 	NAT 	CS 	13.3 to 13.3 OR 13.5 to 13.5 	1
22 	6 	NAT 	CS 	19 to 19 	1
23 	6 	NAT 	CS 	13 to 13 	1
24 	6 	NAT 	CS 	7 to 7 	1
25 	6 	NAT 	CS 	6 to 6 	1
26 	6 	MCQ 	CS 	A 	2
27 	6 	MCQ 	CS 	C 	2
28 	6 	MCQ 	CS 	B 	2
29 	6 	MCQ 	CS 	B 	2
30 	6 	MCQ 	CS 	B 	2
31 	6 	MCQ 	CS 	D 	2
32 	6 	MCQ 	CS 	A 	2
33 	6 	MCQ 	CS 	B 	2
34 	6 	MCQ 	CS 	A 	2
35 	6 	MCQ 	CS 	B 	2
36 	6 	MCQ 	CS 	A 	2
37 	6 	MCQ 	CS 	A 	2
38 	6 	MCQ 	CS 	B 	2
39 	6 	MCQ 	CS 	C 	2
40 	6 	MCQ 	CS 	A 	2
41 	6 	MCQ 	CS 	B 	2
42 	6 	NAT 	CS 	12 to 12 	2
43 	6 	NAT 	CS 	2.15 to 2.18 	2
44 	6 	NAT 	CS 	14 to 14 	2
45 	6 	NAT 	CS 	0.5 to 0.5 	2
46 	6 	NAT 	CS 	55 to 55 	2
47 	6 	NAT 	CS 	511 to 511 	2
48 	6 	NAT 	CS 	81 to 81 	2
49 	6 	NAT 	CS 	99 to 99 	2
50 	6 	NAT 	CS 	5.25 to 5.25 	2
51 	6 	NAT 	CS 	6 to 6 	2
52 	6 	NAT 	CS 	7 to 7 	2
53 	6 	NAT 	CS 	154.5 to 155.5 	2
54 	6 	NAT 	CS 	4 to 4 	2
55 	6 	NAT 	CS 	44 to 44 	2
