"country","hdi","pop2022"
"Norway","0.9540","5511.3700"
"Switzerland","0.9460","8773.6370"
"Ireland","0.9420","5020.1990"
"Hong Kong","0.9390","7604.2990"
"Germany","0.9390","83883.5960"
"Iceland","0.9380","345.3930"
"Australia","0.9380","26068.7920"
"Sweden","0.9370","10218.9710"
"Singapore","0.9350","5943.5460"
"Netherlands","0.9330","17211.4470"
"Denmark","0.9300","5834.9500"
"Finland","0.9250","5554.9600"
"Canada","0.9220","38388.4190"
"New Zealand","0.9210","4898.2030"
"United Kingdom","0.9200","68497.9070"
"United States","0.9200","334805.2690"
"Belgium","0.9190","11668.2780"
"Liechtenstein","0.9170","38.3870"
"Japan","0.9150","125584.8380"
"Austria","0.9140","9066.7100"
"Luxembourg","0.9090","642.3710"
"Israel","0.9060","8922.8920"
"South Korea","0.9060","51329.8990"
"Slovenia","0.9020","2078.0340"
"Spain","0.8930","46719.1420"
"Czech Republic","0.8910","10736.7840"
"France","0.8910","65584.5180"
"Malta","0.8850","444.0330"
"Italy","0.8830","60262.7700"
"Estonia","0.8820","1321.9100"
"Cyprus","0.8730","1223.3870"
"Greece","0.8720","10316.6370"
"Poland","0.8720","37739.7850"
"Lithuania","0.8690","2661.7080"
"United Arab Emirates","0.8660","10081.7850"
"Andorra","0.8570","77.4630"
"Slovakia","0.8570","5460.1930"
"Saudi Arabia","0.8570","35844.9090"
"Latvia","0.8540","1848.8370"
"Portugal","0.8500","10140.5700"
"Qatar","0.8480","2979.9150"
"Chile","0.8470","19250.1950"
"Brunei","0.8450","445.4310"
"Hungary","0.8450","9606.2590"
"Bahrain","0.8380","1783.9830"
"Croatia","0.8370","4059.2860"
"Oman","0.8340","5323.9930"
"Argentina","0.8300","46010.2340"
"Russia","0.8240","145805.9470"
"Belarus","0.8170","9432.8000"
"Kazakhstan","0.8170","19205.0430"
"Montenegro","0.8160","627.9500"
"Bulgaria","0.8160","6844.5970"
"Romania","0.8160","19031.3350"
"Palau","0.8140","18.2330"
"Barbados","0.8130","288.0230"
"Uruguay","0.8080","3496.0160"
"Kuwait","0.8080","4380.3260"
"Turkey","0.8060","85561.9760"
"Bahamas","0.8050","400.5160"
"Malaysia","0.8040","33181.0720"
"Seychelles","0.8010","99.4260"
"Trinidad and Tobago","0.7990","1406.5850"
"Serbia","0.7990","8653.0160"
"Iran","0.7970","86022.8370"
"Mauritius","0.7960","1274.7270"
"Panama","0.7950","4446.9640"
"Costa Rica","0.7940","5182.3540"
"Albania","0.7910","2866.3740"
"Georgia","0.7860","3968.7380"
"Sri Lanka","0.7800","21575.8420"
"Cuba","0.7780","11305.6520"
"Saint Kitts and Nevis","0.7770","53.8710"
"Antigua and Barbuda","0.7760","99.5090"
"Bosnia and Herzegovina","0.7690","3249.3170"
"Mexico","0.7670","131562.7720"
"Thailand","0.7650","70078.2030"
"Grenada","0.7630","113.4750"
"Colombia","0.7610","51512.7620"
"Brazil","0.7610","215353.5930"
"Armenia","0.7600","2971.9660"
"North Macedonia","0.7590","2081.3040"
"Peru","0.7590","33684.2080"
"Algeria","0.7590","45350.1480"
"Ecuador","0.7580","18113.3610"
"China","0.7580","1448471.4000"
"Azerbaijan","0.7540","10300.2050"
"Ukraine","0.7500","43192.1220"
"Saint Lucia","0.7450","185.1130"
"Dominican Republic","0.7450","11056.3700"
"Tunisia","0.7390","12046.6560"
"Mongolia","0.7350","3378.0780"
"Lebanon","0.7300","6684.8490"
"Saint Vincent and the Grenadines","0.7280","111.5510"
"Botswana","0.7280","2441.1620"
"Jamaica","0.7260","2985.0940"
"Venezuela","0.7260","29266.9910"
"Suriname","0.7240","596.8310"
"Fiji","0.7240","909.4660"
"Paraguay","0.7240","7305.8430"
"Jordan","0.7230","10300.8690"
"Belize","0.7200","412.1900"
"Maldives","0.7190","540.9850"
"Tonga","0.7170","107.7490"
"Philippines","0.7120","112508.9940"
"Moldova","0.7110","4013.1710"
"Turkmenistan","0.7100","6201.9430"
"Uzbekistan","0.7100","34382.0840"
"Libya","0.7080","7040.7450"
"Indonesia","0.7070","279134.5050"
"South Africa","0.7050","60756.1350"
"Bolivia","0.7030","11992.6560"
"Gabon","0.7020","2331.5330"
"Egypt","0.7000","106156.6920"
"Marshall Islands","0.6980","60.0570"
"Vietnam","0.6930","98953.5410"
"Palestine","0.6900","5345.5410"
"Iraq","0.6890","42164.9650"
"Morocco","0.6760","37772.7560"
"Kyrgyzstan","0.6740","6728.2710"
"Guyana","0.6700","794.0450"
"El Salvador","0.6670","6550.3890"
"Tajikistan","0.6560","9957.4640"
"Nicaragua","0.6510","6779.1000"
"Guatemala","0.6510","18584.0390"
"India","0.6470","1406631.7760"
"Namibia","0.6450","2633.8740"
"Timor-Leste","0.6260","1369.4290"
"Kiribati","0.6230","123.4190"
"Honduras","0.6230","10221.2470"
"Bhutan","0.6170","787.9410"
"Micronesia","0.6140","117.4890"
"Bangladesh","0.6140","167885.6890"
"Sao Tome and Principe","0.6090","227.6790"
"Eswatini","0.6080","1184.8170"
"Republic of the Congo","0.6080","5797.8050"
"Laos","0.6040","7481.0230"
"Vanuatu","0.5970","321.8320"
"Ghana","0.5960","32395.4500"
"Zambia","0.5910","19470.2340"
"Equatorial Guinea","0.5880","1496.6620"
"Myanmar","0.5840","55227.1430"
"Cambodia","0.5810","17168.6390"
"Nepal","0.5790","30225.5820"
"Kenya","0.5790","56215.2210"
"Angola","0.5740","35027.3430"
"Zimbabwe","0.5630","15331.4280"
"Cameroon","0.5630","27911.5480"
"Pakistan","0.5600","229488.9940"
"Solomon Islands","0.5570","721.1590"
"Syria","0.5490","19364.8090"
"Papua New Guinea","0.5430","9292.1690"
"Comoros","0.5380","907.4190"
"Rwanda","0.5360","13600.4640"
"Nigeria","0.5340","216746.9340"
"Uganda","0.5280","48432.8630"
"Tanzania","0.5280","63298.5500"
"Mauritania","0.5270","4901.9810"
"Madagascar","0.5210","29178.0770"
"Benin","0.5200","12784.7260"
"Lesotho","0.5180","2175.6990"
"Ivory Coast","0.5160","27742.2980"
"Senegal","0.5140","17653.6710"
"Togo","0.5130","8680.8370"
"Sudan","0.5070","45992.0200"
"Haiti","0.5030","11680.2830"
"Afghanistan","0.4960","40754.3880"
"Djibouti","0.4950","1016.0970"
"Malawi","0.4850","20180.8390"
"Ethiopia","0.4700","120812.6980"
"Gambia","0.4660","2558.4820"
"Guinea","0.4660","13865.6910"
"Liberia","0.4650","5305.1170"
"Yemen","0.4630","31154.8670"
"Guinea-Bissau","0.4610","2063.3670"
"DR Congo","0.4590","95240.7920"
"Mozambique","0.4460","33089.4610"
"Sierra Leone","0.4380","8306.4360"
"Eritrea","0.4340","3662.2440"
